Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
frankie-stein,Boys Frankie Stein Costume,,Rubie's Costume Co.,Costumes,"costumes, frankie, stein, dlx, sm, ",,Size,Small,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,883028490059,,,,,,,,,,,,,,,,,,,,,,
scooby-doo,Boys Scooby Doo Costume,,Rubie's Costume Co.,Costumes,"costumes, scooby, doo, dlx, med, ",,Size,Medium,,,,,,,shopify,0,deny,manual,37.49,49.99,True,,883028209262,,,,,,,,,,,,,,,,,,,,,,
frankie-stein,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,883028490066,,,,,,,,,,,,,,,,,,,,,,
spyro,Boys Spyro Costume,,Rubie's Costume Co.,Costumes,"costumes, spyro, sm, ",,Size,Small,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,883028163250,,,,,,,,,,,,,,,,,,,,,,
police-officer,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,883028211463,,,,,,,,,,,,,,,,,,,,,,
frankie-stein,,,,,,,,Large,,,,,,,shopify,1,deny,manual,29.99,39.99,True,,883028490073,,,,,,,,,,,,,,,,,,,,,,
knight,Boys Knight Costume,,Rubie's Costume Co.,Costumes,"costumes, knight, med, ",,Size,Medium,,,,,,,shopify,1,deny,manual,20.99,27.99,True,,883028664160,,,,,,,,,,,,,,,,,,,,,,
spyro,,,,,,,,Medium,,,,,,,shopify,1,deny,manual,22.49,29.99,True,,883028163267,,,,,,,,,,,,,,,,,,,,,,
knight,,,,,,,,Large,,,,,,,shopify,1,deny,manual,20.99,27.99,True,,883028664177,,,,,,,,,,,,,,,,,,,,,,
h/s-the-batman,Boys H/S The Batman Costume,,Rubie's Costume Co.,Costumes,"costumes, h/s, the, batman, sm, ",,Size,Small,,,,,,,shopify,2,deny,manual,22.49,29.99,True,,883028221059,,,,,,,,,,,,,,,,,,,,,,
