Item Number,Item Name,Item Description,Brief Description,Attribute,Size,Regular Price,MSRP,UPC,Department Name,Vendor Name,Qty 1,Custom Field 1,,,,,,,
22205,MONK ROBE ADULT,MONK ROBE ADULT,,MEN,STD,22.4925,29.99,0721773400421,COSTUMES,FORUM NOVELTIES INC,0,40042,,,,,,,
22157,MONK/GHOUL ROBE BK ADULT,MONK/GHOUL ROBE BK ADULT,,MEN,STD,26.2425,34.99,0082686009768,COSTUMES,RUBIE'S COSTUME CO.,0,976,,,,,,,
22231,MR POTATO HEAD ADULT,MR POTATO HEAD ADULT,,MEN,STD,44.9925,59.99,0039897168289,COSTUMES,DISGUISE INC.,0,16828D,,,,,,,
19025,MUSCLE SHIRT ADULT,MUSCLE SHIRT ADULT,,MEN,MUSCLE SHIRT,22.49,29.99,0809801705417,COSTUMES,AMSCAN,4,840475,,,,,,,
20744,MUSTARD ADULT,MUSTARD ADULT,,MEN,STD,26.2425,34.99,0791249003067,COSTUMES,RASTA IMPOSTA,2,306,,,,,,,
22247,NERD ADULT,NERD ADULT,,MEN,STD,26.2425,34.99,0071765024372,COSTUMES,FUN WORLD,0,130564,,,,,,,
18822,OBI WAN KENOBI ADULT,OBI WAN KENOBI ADULT,,MEN,STD,32.2425,42.99,0082686168724,COSTUMES,RUBIE'S COSTUME CO.,0,16872,,,,,,,
22262,OLD MILWAUKEE BEER CAN,OLD MILWAUKEE BEER CAN,,MEN,STD,32.2425,42.99,0791249481001,COSTUMES,RASTA IMPOSTA,0,4810,,,,,,,
22263,OLD TYME GOLFER  ADULT,OLD TYME GOLFER  ADULT,,MEN,STD,41.2425,54.99,0791249716608,COSTUMES,RASTA IMPOSTA,0,7166,,,,,,,
22237,OUTLAW ADULT,OUTLAW ADULT,,MEN,STD,37.4925,49.99,0809801724029,COSTUMES,AMSCAN,0,843138,,,,,,,
20745,PEPPER ADULT,PEPPER ADULT,,MEN,STD,22.4925,29.99,0791249003098,COSTUMES,RASTA IMPOSTA,0,309,,,,,,,
